Date,Intent,Product,Quantity,Part Number,Brand,Condition,Sender Company,Subject
5/7/2025 10:52:01,WTS,DELL,2000,LAPTOP,,--,inc,"[Laptop] WTS: 2000, Dell, Chromebook Touch Screen 5190 2 in 1 /4GB/32GB, B, offer EUR"
5/7/2025 10:51:41,WTS,HP,30,NETWORKING/TELECOM,,Refurb,inc,"[Networking/Telecom] WTS: 30, HP, Z2 G9 Tower Workstation Part # 9Y435U8R#ABA, A, offer EUR"
5/7/2025 10:51:28,WTS,DELL,57,LAPTOP,,--,inc,"[Laptop] WTS: 57, Dell, Precision laptops- qty 57, A/B, offer EUR"
5/7/2025 10:48:24,WTS,LENOVO,49,LAPTOP,,--,inc,"[Laptop] WTS: 49, Lenovo, Lenovo P1 Gen3/4 P15 Gen1/2 - Laptops- qty 49, A/B, offer EUR"
5/7/2025 10:24:04,WTS,DELL,26,OPTIPLEX,,--,--,"[PC] WTS: 26, Dell, Optiplex 5060/5070 Desktop Core i3-8/9th, Grade A/B Mix, Offer  EUR"
5/7/2025 10:15:57,WTS,HP,150,LAPTOP,,Refurb,--,"[Laptop] WTS: 150, HP EliteBook 840 G8 Notebook PC, 4V0C1EC, A, 275 USD"
5/7/2025 9:58:41,WTS,--,96,ISERIES,,--,llc,WTS: Intel iSeries Processors CPU
5/7/2025 9:44:48,WTS,--,800,INGENICO,,New,--,"[POS] WTS: 800, Ingenico, MOV500-CAPPT01B , new in Box, Offers EUR"
5/7/2025 9:22:32,WTS,LENOVO,53,LENOVO,,--,--,"[PC] WTS: 53, Lenovo , ThinkCentre M75q Gen 2 Tiny AMD Ryzen  5 PRO , Grade A , Offer  EUR"
5/7/2025 9:08:53,WTB,HP,3,SERVER/STORAGE,,--,--,"[Server/Storage] WTB: 3, HP, DL360 G9, A GRADE, OFFER EUR"
5/7/2025 9:07:15,WTB,LENOVO,100,LAPTOP,,Refurb,--,"[Laptop] WTB: 100+, Lenovo, Thinkpad X1 Carbon Gen 8 i5-i7 10th Gen CPU, Factory Refurbished, 232 EUR"
5/7/2025 9:03:36,WTB,LENOVO,100,LAPTOP,,Refurb,--,"[Laptop] WTB: 100+, LENOVO, Thinkpad X13 Gen 2 i5-i7 11th Gen CPU, Factory Refurbished, 191 EUR"
5/7/2025 8:58:33,WTS,--,160,LAPTOP,,--,--,"[Laptop] WTS: 160, Acer, Chromebook 12 Spin 512 R851TN-P4VW 2n1 8/64GB Blk, B, Offer USD"
